GPU,RTX 4080 16GB,,,
vCPU,4,,,
Memory,16,,,
,,,,
,,,,
Total Duration, 438348ms,,,
Total Iterations,100,,,
Total Passed,100,,,
Total Failed,0,,,
Failed Iterations Numbers, ,,,
,,,,
Iteration,1,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 5.00 s
,,,,
Iteration,2,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.98 s
,,,,
Iteration,3,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.66 s
,,,,
Iteration,4,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.67 s
,,,,
Iteration,5,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.64 s
,,,,
Iteration,6,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.65 s
,,,,
Iteration,7,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.67 s
,,,,
Iteration,8,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.67 s
,,,,
Iteration,9,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.64 s
,,,,
Iteration,10,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.65 s
,,,,
Iteration,11,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.80 s
,,,,
Iteration,12,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.65 s
,,,,
Iteration,13,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.63 s
,,,,
Iteration,14,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.98 s
,,,,
Iteration,15,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.62 s
,,,,
Iteration,16,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.75 s
,,,,
Iteration,17,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.59 s
,,,,
Iteration,18,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.67 s
,,,,
Iteration,19,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.66 s
,,,,
Iteration,20,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.62 s
,,,,
Iteration,21,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.62 s
,,,,
Iteration,22,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.66 s
,,,,
Iteration,23,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.68 s
,,,,
Iteration,24,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.63 s
,,,,
Iteration,25,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.65 s
,,,,
Iteration,26,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.65 s
,,,,
Iteration,27,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.64 s
,,,,
Iteration,28,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.63 s
,,,,
Iteration,29,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.67 s
,,,,
Iteration,30,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.63 s
,,,,
Iteration,31,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.69 s
,,,,
Iteration,32,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.60 s
,,,,
Iteration,33,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.59 s
,,,,
Iteration,34,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.59 s
,,,,
Iteration,35,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.65 s
,,,,
Iteration,36,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.68 s
,,,,
Iteration,37,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.73 s
,,,,
Iteration,38,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.70 s
,,,,
Iteration,39,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.62 s
,,,,
Iteration,40,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.71 s
,,,,
Iteration,41,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,307, 666 ms
,,,,
Iteration,42,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.80 s
,,,,
Iteration,43,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.62 s
,,,,
Iteration,44,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.74 s
,,,,
Iteration,45,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.63 s
,,,,
Iteration,46,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 4.09 s
,,,,
Iteration,47,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.71 s
,,,,
Iteration,48,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.65 s
,,,,
Iteration,49,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.60 s
,,,,
Iteration,50,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.61 s
,,,,
Iteration,51,,,
Method, Name, Url, Status, Time
POST, #1, https://fruity-guava-radish.salad.cloud/generate,200, 3.38 s
